Retrieval Strategy,Model,Recall,nDCG,MAP
Lexical,BM25,0.6472,0.5786,0.5553
Semantic,KoSRoBERTa,0.8647,0.7454,0.7094
Semantic,KoSimCSE,0.6563,0.4874,0.4369
Semantic,MPNet,0.6563,0.5121,0.4677
Semantic,MiniLM,0.6711,0.5521,0.6170
Semantic,E5,0.8757,0.7835,0.7547
Semantic,BGE-M3,0.9196,0.8158,0.7653
Hybrid (RRF),KoSRoBERTa,0.8885,0.7307,0.6795
Hybrid (RRF),KoSimCSE,0.8135,0.6405,0.5863
Hybrid (RRF),MPNet,0.8245,0.6386,0.5811
Hybrid (RRF),MiniLM,0.7422,0.5437,0.4820
Hybrid (RRF),E5,0.8921,0.7454,0.6977
Hybrid (RRF),BGE-M3,0.9049,0.7583,0.7106
